Borough,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Hillingdon,2021-05-22,-24.285714285714285,-1.7142857142857142,56.285714285714285,-63.285714285714285,-27.714285714285715,9.285714285714286
Hillingdon,2021-05-23,-23.428571428571427,-2.0,54.142857142857146,-62.714285714285715,-27.428571428571427,9.0
Hillingdon,2021-05-24,-23.571428571428573,-1.8571428571428572,53.857142857142854,-62.857142857142854,-27.571428571428573,9.0
Hillingdon,2021-05-25,-23.571428571428573,-1.4285714285714286,53.857142857142854,-62.857142857142854,-27.571428571428573,9.0
Hillingdon,2021-05-26,-23.428571428571427,-1.2857142857142858,54.285714285714285,-62.857142857142854,-27.571428571428573,9.0
Hillingdon,2021-05-27,-21.857142857142858,-0.8571428571428571,65.28571428571429,-62.57142857142857,-27.571428571428573,8.857142857142858
Hillingdon,2021-05-28,-20.571428571428573,-0.14285714285714285,71.71428571428571,-62.142857142857146,-27.714285714285715,8.571428571428571
Hillingdon,2021-05-29,-20.0,0.14285714285714285,78.28571428571429,-61.714285714285715,-28.428571428571427,8.142857142857142
Hillingdon,2021-05-30,-18.571428571428573,0.5714285714285714,95.14285714285714,-61.142857142857146,-28.285714285714285,7.428571428571429
Hillingdon,2021-05-31,-16.857142857142858,0.42857142857142855,119.71428571428571,-61.57142857142857,-34.0,7.857142857142857
Hillingdon,2021-06-01,-15.428571428571429,1.2857142857142858,131.14285714285714,-61.57142857142857,-35.857142857142854,7.857142857142857
Hillingdon,2021-06-02,-14.714285714285714,1.8571428571428572,139.85714285714286,-61.57142857142857,-37.714285714285715,8.0
Hillingdon,2021-06-03,-14.571428571428571,2.2857142857142856,142.0,-61.857142857142854,-39.57142857142857,8.142857142857142
Hillingdon,2021-06-04,-15.714285714285714,1.4285714285714286,134.14285714285714,-62.285714285714285,-41.285714285714285,8.571428571428571
Hillingdon,2021-06-05,-15.857142857142858,1.5714285714285714,141.57142857142858,-62.142857142857146,-40.57142857142857,8.571428571428571
Hillingdon,2021-06-06,-16.142857142857142,2.142857142857143,139.42857142857142,-62.285714285714285,-39.857142857142854,9.0
Hillingdon,2021-06-07,-16.285714285714285,3.5714285714285716,126.57142857142857,-61.42857142857143,-34.0,8.428571428571429
Hillingdon,2021-06-08,-16.428571428571427,3.5714285714285716,123.42857142857143,-61.285714285714285,-32.0,8.285714285714286
Hillingdon,2021-06-09,-16.142857142857142,3.857142857142857,121.14285714285714,-61.142857142857146,-30.0,8.0
Hillingdon,2021-06-10,-16.428571428571427,3.7142857142857144,117.0,-60.857142857142854,-28.285714285714285,7.857142857142857
Hillingdon,2021-06-11,-15.285714285714286,4.857142857142857,129.0,-60.42857142857143,-26.428571428571427,7.428571428571429
Hillingdon,2021-06-12,-15.142857142857142,5.0,124.28571428571429,-60.42857142857143,-26.714285714285715,7.428571428571429
Hillingdon,2021-06-13,-15.285714285714286,5.142857142857143,128.14285714285714,-60.42857142857143,-27.0,7.142857142857143
Hillingdon,2021-06-14,-15.428571428571429,5.285714285714286,126.42857142857143,-60.57142857142857,-27.0,7.142857142857143
Hillingdon,2021-06-15,-15.571428571428571,5.285714285714286,124.14285714285714,-60.42857142857143,-27.0,7.142857142857143
Hillingdon,2021-06-16,-15.714285714285714,4.857142857142857,123.0,-60.285714285714285,-27.142857142857142,7.142857142857143
Hillingdon,2021-06-17,-16.428571428571427,4.428571428571429,118.14285714285714,-60.42857142857143,-27.142857142857142,7.285714285714286
Hillingdon,2021-06-18,-18.0,2.4285714285714284,104.28571428571429,-60.714285714285715,-27.428571428571427,7.571428571428571
Hillingdon,2021-06-19,-18.142857142857142,2.0,93.0,-61.0,-27.285714285714285,7.857142857142857
Hillingdon,2021-06-20,-17.714285714285715,1.4285714285714286,79.42857142857143,-61.0,-27.142857142857142,8.142857142857142
Hillingdon,2021-06-21,-18.857142857142858,-0.2857142857142857,66.71428571428571,-61.0,-27.142857142857142,8.285714285714286
Hillingdon,2021-06-22,-19.285714285714285,-1.4285714285714286,62.57142857142857,-61.142857142857146,-27.142857142857142,8.285714285714286
Hillingdon,2021-06-23,-19.428571428571427,-2.142857142857143,63.285714285714285,-61.142857142857146,-27.142857142857142,8.285714285714286
Hillingdon,2021-06-24,-18.857142857142858,-2.0,67.42857142857143,-60.857142857142854,-27.142857142857142,8.142857142857142
Hillingdon,2021-06-25,-17.0,-0.42857142857142855,79.85714285714286,-60.42857142857143,-27.0,7.857142857142857
Hillingdon,2021-06-26,-16.857142857142858,-1.1428571428571428,88.57142857142857,-60.0,-27.142857142857142,7.571428571428571
Hillingdon,2021-06-27,-17.285714285714285,-1.7142857142857142,87.0,-59.714285714285715,-27.428571428571427,7.571428571428571
Hillingdon,2021-06-28,-16.285714285714285,-1.1428571428571428,94.71428571428571,-59.42857142857143,-27.714285714285715,7.428571428571429
Hillingdon,2021-06-29,-16.857142857142858,-2.2857142857142856,88.71428571428571,-59.285714285714285,-28.142857142857142,7.428571428571429
Hillingdon,2021-06-30,-16.857142857142858,-2.142857142857143,85.28571428571429,-59.0,-28.428571428571427,7.285714285714286
Hillingdon,2021-07-01,-16.857142857142858,-2.142857142857143,88.0,-58.714285714285715,-28.428571428571427,7.285714285714286
Hillingdon,2021-07-02,-17.285714285714285,-2.4285714285714284,90.71428571428571,-58.42857142857143,-28.428571428571427,7.285714285714286
Hillingdon,2021-07-03,-17.285714285714285,-1.8571428571428572,87.14285714285714,-58.0,-28.428571428571427,7.428571428571429
Hillingdon,2021-07-04,-17.571428571428573,-1.7142857142857142,87.0,-58.0,-28.428571428571427,7.571428571428571
